culture,dataset_type,canonical_domain,total,refusals,non_refusals,hallucinations,hallucinations_not_refused,correct,refusal_rate,hallucination_rate_not_refused,hallucination_rate_all,correct_rate
gujarati,precise,Festivals,918,31,887,374,344,544,0.0338,0.3878,0.4074,0.5926
gujarati,precise,Food & Cuisine,738,8,730,314,309,424,0.0108,0.4233,0.4255,0.5745
gujarati,precise,Geography,2374,66,2308,820,754,1554,0.0278,0.3267,0.3454,0.6546
gujarati,precise,History,468,15,453,112,97,356,0.0321,0.2141,0.2393,0.7607
gujarati,precise,unknown,2,0,2,1,1,1,0.0000,0.5000,0.5000,0.5000
tamil,precise,Festivals,312,2,310,147,145,165,0.0064,0.4677,0.4712,0.5288
tamil,precise,Food & Cuisine,198,0,198,142,142,56,0.0000,0.7172,0.7172,0.2828
tamil,precise,Geography,714,13,701,387,374,327,0.0182,0.5335,0.5420,0.4580
tamil,precise,History,108,1,107,37,36,71,0.0093,0.3364,0.3426,0.6574
